miRNA id,logFC,AveExpr,t,P.Value,adj.P.Val,B,mature
MI0000702,-0.631744493,3.935761979,-0.717966291,0.482038624,0.759704148,-5.715470898,MIMAT0000664|MIMAT0017055
MI0000725,0.421119136,10.17660428,0.718999406,0.481417255,0.759704148,-6.069741936,MIMAT0000136_1|MIMAT0004669
MI0026037,0.555205134,-0.693640082,0.726088489,0.477166295,0.759704148,-5.693194267,MIMAT0031411
MI0000575,0.701599077,9.886996448,0.738311077,0.469889647,0.759704148,-6.039225142,MIMAT0000534|MIMAT0004630
MI0009921,0.722153694,1.35193417,0.736662668,0.47086712,0.759704148,-5.645403185,MIMAT0009395
MI0010750,0.744278074,4.290418409,0.718724737,0.481582409,0.759704148,-5.724971555,MIMAT0011213
MI0006299,0.802238935,3.366427688,0.721186253,0.480103532,0.759704148,-5.680241898,MIMAT0005852
MI0001524,0.992798931,0.549006545,0.739817761,0.468997279,0.759704148,-5.665186181,MIMAT0001418|MIMAT0004753
MI0022884,0.997451788,1.452825788,0.722500619,0.479314965,0.759704148,-5.665813327,MIMAT0027974|MIMAT0027975
MI0000728,-1.045167568,5.866405632,-0.705264032,0.489717016,0.769555311,-5.825454521,MIMAT0000677|MIMAT0004670
MI0009922,0.753354599,1.817264901,0.695532675,0.495647582,0.7766106,-5.66919374,MIMAT0009396|MIMAT0009397
MI0003519,0.844617091,-0.600901419,0.692619978,0.497430727,0.777145396,-5.714135663,MIMAT0017207|MIMAT0003168
MI0000577,0.640612828,5.951553798,0.687171404,0.500776264,0.780111001,-5.839667335,MIMAT0004632|MIMAT0000536
MI0014026,0.607193348,0.680027813,0.684345521,0.502516503,0.780565979,-5.694286305,MIMAT0014834|MIMAT0014835
MI0000584,-0.531077129,9.135536447,-0.666657623,0.51348756,0.795315502,-6.049005169,MIMAT0000542|MIMAT0017022
MI0022806,0.64467127,-0.181748609,0.661641892,0.516623086,0.797879207,-5.725436327,MIMAT0027818|MIMAT0027819
MI0022967,0.492190664,-0.899891887,0.655705145,0.520348254,0.801336312,-5.742561555,MIMAT0028129|MIMAT0028130
MI0024989,0.516481393,-0.873994024,0.636344514,0.532600321,0.817867729,-5.754304925,MIMAT0029804|MIMAT0029805
MI0000154,-0.597012966,8.51948995,-0.625739011,0.539378498,0.825326285,-6.038947385,MIMAT0004530|MIMAT0000139
MI0018030,0.836982679,6.162974807,0.623960413,0.540519812,0.825326285,-5.891252591,MIMAT0020629
MI0022879,-0.717946203,-0.219606035,-0.608746801,0.550335575,0.833426272,-5.759671383,MIMAT0027964|MIMAT0027965
MI0025018,-0.534506702,1.645553799,-0.60616677,0.552009609,0.833426272,-5.709405981,MIMAT0029860_1|MIMAT0029861_1
MI0000167,-0.46408331,9.703692795,-0.609882811,0.549599345,0.833426272,-6.117605145,MIMAT0000154|MIMAT0000155
MI0026028,-0.459531574,9.710686062,-0.606215162,0.551978185,0.833426272,-6.120224125,MIMAT0031402
MI0022780,0.680741279,0.960043552,0.601572357,0.554997367,0.835596594,-5.74004913,MIMAT0027766|MIMAT0027767
MI0000166,-0.513565587,3.617884689,-0.596078102,0.558581527,0.837328422,-5.775885095,MIMAT0004533|MIMAT0000153
MI0000404,0.488052847,0.638286597,0.595048404,0.559254605,0.837328422,-5.745981626,MIMAT0000382|MIMAT0004581
MI0000692,0.653669027,6.811532998,0.590988634,0.561912489,0.838977373,-5.948926544,MIMAT0000655|MIMAT0017051
MI0000405,-0.328098989,11.94406672,-0.577804881,0.570589202,0.84957895,-6.259451293,MIMAT0000383|MIMAT0000384
MI0022883,-0.550203567,-0.210256765,-0.569071139,0.576375132,0.853899786,-5.782245302,MIMAT0027972|MIMAT0027973
MI0022760,0.572161777,-0.31425109,0.568642912,0.576659596,0.853899786,-5.782937374,MIMAT0027726|MIMAT0027727
MI0000691,-0.736503928,3.12582044,-0.564963438,0.579106759,0.855174091,-5.771916085,MIMAT0000654|MIMAT0017050
MI0000763,-0.489063608,5.149162086,-0.557602609,0.58401817,0.860070474,-5.874349784,MIMAT0000706|MIMAT0004684
MI0016980,0.486727615,-0.520122859,0.54912593,0.589700078,0.865612284,-5.798428223,MIMAT0019355
MI0000820,0.803593441,2.268704859,0.547202528,0.590993174,0.865612284,-5.761959096,MIMAT0003473_1|MIMAT0000145_1
MI0022938,-0.515288086,-0.416180386,-0.540802624,0.595305968,0.86956617,-5.800311291,MIMAT0028082|MIMAT0028083
MI0022354,-0.852721479,1.371730022,-0.53540635,0.598954508,0.870179191,-5.747719452,MIMAT0025583
MI0022779,0.534803224,0.155825752,0.535456906,0.598920275,0.870179191,-5.793393862,MIMAT0027764|MIMAT0027765
MI0019195,0.415779998,-0.376568944,0.532321435,0.601045221,0.870869285,-5.803802221,MIMAT0022381|MIMAT0022382
MI0022912,-0.471257879,-0.469722757,-0.519199126,0.609978227,0.881443069,-5.812003586,MIMAT0028030|MIMAT0028031
MI0022834,-0.538991398,0.264956778,-0.506770861,0.618497361,0.888986873,-5.798135781,MIMAT0027874|MIMAT0027875
MI0003522,0.554731874,4.580073418,0.508014787,0.617642155,0.888986873,-5.867232513,MIMAT0003171|MIMAT0003172
MI0000571,0.236004157,10.95161054,0.503153712,0.620987358,0.890191984,-6.245849799,MIMAT0017019|MIMAT0000532
MI0014104,0.404047637,9.238573657,0.497512843,0.624879873,0.893395893,-6.151712672,MIMAT0014856_1|MIMAT0014946
MI0018028,-0.976274646,2.163190957,-0.473049812,0.641891371,0.896309265,-5.783427612,MIMAT0020627
MI0005507,-0.648429257,-0.827417117,-0.487327712,0.631936977,0.896309265,-5.833262334,MIMAT0004881|MIMAT0004882
MI0022800,-0.626751422,-0.678382046,-0.467756791,0.645599567,0.896309265,-5.839668633,MIMAT0027806|MIMAT0027807
MI0004693,-0.588886305,5.560282758,-0.463475063,0.648606288,0.896309265,-5.943937249,MIMAT0003499
MI0018041,-0.578299168,2.946142198,-0.461481769,0.65000815,0.896309265,-5.815815265,MIMAT0020640|MIMAT0022987
MI0022793,-0.574018874,-0.31709542,-0.478628949,0.637993197,0.896309265,-5.828952268,MIMAT0027792|MIMAT0027793
MI0000712,-0.538489719,3.635410465,-0.483061081,0.634904161,0.896309265,-5.836199976,MIMAT0000127|MIMAT0017063
MI0021923,0.295244375,10.28811542,0.461211442,0.650198372,0.896309265,-6.23002609,MIMAT0025138
MI0000595,0.313240006,7.785706892,0.467688588,0.645647411,0.896309265,-6.078771111,MIMAT0000555|MIMAT0000556
MI0000145,0.383107857,7.879772229,0.462388827,0.649370059,0.896309265,-6.08651068,MIMAT0000130|MIMAT0004524
MI0022784,0.430741116,-0.198260719,0.472793185,0.642070937,0.896309265,-5.829056631,MIMAT0027774|MIMAT0027775
MI0014099,0.451704498,-0.30401321,0.462316099,0.649421211,0.896309265,-5.835787501,MIMAT0014933|MIMAT0014934|MIMAT0014935|MIMAT0014936
MI0009961,0.647532412,5.1146444,0.474237973,0.641060293,0.896309265,-5.911969142,MIMAT0017349|MIMAT0009437
MI0000159,0.686658407,2.271850796,0.470161091,0.643913964,0.896309265,-5.798255949,MIMAT0003473|MIMAT0000145
MI0000141,0.358535132,10.46945777,0.454305985,0.655065917,0.898423739,-6.242285384,MIMAT0016980|MIMAT0000125
MI0004636,0.386162088,2.431668806,0.455613604,0.654142966,0.898423739,-5.804172809,MIMAT0003453|MIMAT0017247
MI0000221,0.450079262,9.937275981,0.451416066,0.657107723,0.898936708,-6.21241938,MIMAT0000208|MIMAT0004538
MI0000401,-0.638044943,8.055207951,-0.444819881,0.66177851,0.900754083,-6.108351928,MIMAT0017008|MIMAT0000379
MI0000231,0.377107469,9.120411803,0.445130982,0.661557894,0.900754083,-6.169655215,MIMAT0000218|MIMAT0000219
MI0001525,-0.712000126,-0.056104457,-0.442342296,0.66353661,0.900820106,-5.836586181,MIMAT0001419|MIMAT0001420
MI0016971,0.24535325,8.489445686,0.440043591,0.665169577,0.900820106,-6.134781862,MIMAT0019345|MIMAT0019346
